thinness_combined,log_gdp,log_population,gdp_expenditure,schooling,dum_Developing,dum_Developed,lifeexpectancy,gdp,totalexpenditure,avg_bmi
1.45,6.203261634068044,12.58218103097734,2639.87616288,12.5,True,False,76.2,494.358832,5.34,54.3
1.55,8.322184259987832,14.889665864612283,23820.85059555,12.2,True,False,76.1,4114.136545,5.79,53.5
1.6,6.0811673234060555,14.896404805076802,2568.35772789,12.0,True,False,75.3,437.539647,5.87,52.6
1.65,5.894779760464424,10.299474551610182,2215.1347849999997,11.6,True,False,75.9,363.13685,6.1,51.7
1.75,3.5590355400900275,14.911635422222425,205.85769800000003,11.4,True,False,74.2,35.1293,5.86,5.8
1.8,5.631723948132845,12.649112882791425,1708.3547377199998,10.8,True,False,73.5,279.142931,6.12,49.9
1.85,7.790112004171194,12.697528888135324,15417.8329393,10.9,True,False,73.0,2416.588235,6.38,48.9
1.95,5.245346650285248,12.735570846561549,1189.3033623899998,10.7,True,False,72.8,189.681557,6.27,47.9
2.05,7.281827944964863,8.163656176168432,9157.9494951,10.7,True,False,73.3,1453.642777,6.3,46.9
2.1,7.1906559813805835,10.496068263171036,7961.840340000001,10.6,True,False,73.6,1326.97339,6.0,46.0
2.1500000000000004,7.069694674432491,10.569443376242877,7360.4390210599995,10.7,True,False,72.6,1175.788981,6.26,45.0
5.9,8.326701450175891,17.501173043177975,,14.4,True,False,75.6,4132.76292,,59.5
5.9,6.306004629885741,17.481973452936916,3950.0107570000005,14.4,True,False,75.4,547.8517,7.21,58.4
5.85,8.607375110687247,17.46196678835778,38959.69137392,14.4,True,False,75.3,5471.866766,7.12,57.2
5.85,8.624220935276417,17.441605871115392,34168.0295524,14.4,True,False,75.1,5564.82566,6.14,56.1
5.85,8.600109115140759,17.42153972935169,28736.614667,14.0,True,False,74.9,5432.2523,5.29,55.0
5.85,8.40366489338794,17.402291863553533,22852.580736,13.6,True,False,74.7,4463.394675,5.12,53.9
5.95,8.260707732658364,15.081493188973125,20736.935392800002,13.1,True,False,74.4,3868.83123,5.36,52.8
5.95,6.205072510871129,15.064470590169556,2080.0704372,12.6,True,False,74.1,495.254866,4.2,51.8
5.95,8.27771275265046,10.44511392545483,15032.40037026,12.3,True,False,73.8,3935.183343,3.82,5.8
6.05,8.150357631373087,17.335317744526023,11641.116144,12.3,True,False,73.4,3464.6179,3.36,49.8
6.05,3.437927110272547,17.320720657412625,100.83650472000001,12.0,True,False,72.9,31.122378,3.24,48.9
6.15,7.8628752243066415,15.004327896194203,9200.397342,11.7,True,False,72.3,2598.9823,3.54,47.9
6.199999999999999,5.684720477026148,14.99216786795089,1059.608016,11.5,True,False,71.7,294.33556,3.6,47.0
6.25,7.481181958836838,14.978519482704746,6618.2760029,11.1,True,False,71.6,1774.33673,3.73,46.1
6.35,7.457527335405337,17.268419324935124,6654.17463936,10.9,True,False,71.4,1732.857979,3.84,45.3
6.45,7.471464375032369,14.952819704648801,6132.551115300001,10.7,True,False,71.3,1757.17797,3.49,44.4
8.25,8.214950627091913,14.840094102109301,,11.4,True,False,52.4,3695.793748,,23.3
8.4,6.172352243081327,14.805968060263499,1586.5235143999998,11.4,True,False,51.7,479.31224,3.31,22.7
8.55,6.183358648881555,14.770958154799612,2064.46792584,11.4,True,False,51.1,484.616884,4.26,22.1
8.7,8.433431072701218,12.466955043344651,15174.224960399997,10.3,True,False,56.0,4598.249988,3.3,21.5
8.850000000000001,8.36616769743787,17.002630045779043,14531.0556482,9.4,True,False,51.0,4299.12889,3.38,21.0
9.05,8.168921362206895,16.966926521399206,11965.1230398,9.0,True,False,49.6,3529.53482,3.39,2.4
9.25,8.11607208943642,16.931225535019387,14630.0819945,8.5,True,False,49.1,3347.84485,4.37,19.8
9.45,8.260642504889278,14.59297223219097,14855.342910719999,8.1,True,False,48.7,3868.578883,3.84,19.3
9.6,7.965141722148716,14.913351549259025,9730.46954672,7.7,True,False,48.2,2878.837144,3.38,18.8
9.75,5.569927787872992,14.631936312675807,1191.36477646,7.2,True,False,47.7,262.415149,4.54,18.2
5.45,7.275166730101971,16.788615861518505,5920.3669088999995,6.8,True,False,47.4,1443.991929,4.1,17.7
1.15,4.9549001492812,16.75285686454317,668.2003523999999,6.4,True,False,47.1,141.86844,4.71,17.2
1.35,6.658612092420454,14.41619644678188,3437.45544996,5.9,True,False,46.8,779.468356,4.41,16.8
1.5,6.566927975207804,16.681854217154026,2581.58962908,5.5,True,False,46.5,711.181716,3.63,16.3
1.7,6.26562196547356,16.647739064285794,2830.78783734,5.1,True,False,45.7,526.168743,5.38,15.8
1.9,6.319503001119125,14.313204740506425,1549.2784679009999,4.6,True,False,45.3,555.2969419,2.79,15.4
3.3,9.515392269270327,,,13.9,True,False,76.4,13566.9541,,47.7
3.3,9.464074943679398,,71401.1635518,13.9,True,False,76.2,12888.29667,5.54,47.0
3.3,9.411227202624897,,65158.525972799995,13.9,True,False,76.1,12224.86416,5.33,46.4
3.3,9.438705624050682,,67727.73221829999,13.8,True,False,75.9,12565.44197,5.39,45.7
3.3,9.386757021570334,,67400.82699150001,14.1,True,False,75.7,11929.34991,5.65,45.1
3.3,9.403179437031614,,68274.3126682,14.1,True,False,75.6,12126.87614,5.63,44.4
3.3499999999999996,7.179663790338633,,6378.5892312000005,14.2,True,False,75.4,1312.46692,4.86,43.8
3.3499999999999996,7.295273113959628,,6909.867188700001,14.4,True,False,75.2,1473.31923,4.69,43.2
3.3499999999999996,9.564673191682006,,60857.297600399994,14.5,True,False,75.0,14252.29452,4.27,42.6
3.4,9.451276199419421,,55223.8689618,14.7,True,False,74.8,12724.39377,4.34,42.0
3.45,9.338904104307659,,50150.2507695,0.0,True,False,74.6,11371.93895,4.41,41.4
3.45,7.209959443565316,,5695.445454,0.0,True,False,74.4,1352.8374,4.21,4.8
3.5,9.183978486825277,,44121.4097868,0.0,True,False,74.2,9739.82556,4.53,4.1
3.55,9.147050825425032,,41395.41955332,0.0,True,False,74.0,9386.716452,4.41,39.5
3.55,9.144003345109661,,41924.53064576001,0.0,True,False,73.8,9358.154162,4.48,38.9
3.6500000000000004,9.197777967964313,,40784.41796968,0.0,True,False,73.6,9875.161736,4.13,38.2
0.95,9.508006705398568,17.58637924711446,,17.3,True,False,76.3,13467.1236,,62.8
0.95,9.412893912409102,17.57628069751041,58654.778395500005,17.3,True,False,76.2,12245.25645,4.79,62.2
0.95,9.47090582108343,17.565953604688268,64753.41573580001,17.3,True,False,76.0,12976.63642,4.99,61.6
0.95,9.470376636445561,15.273366920861182,67442.81023999999,17.2,True,False,75.9,12969.7712,5.2,61.0
0.95,9.451479711392176,17.544977075004198,74961.933404,17.1,True,False,75.7,12726.9836,5.89,6.4
0.95,7.151693122592961,17.534528476380324,8359.535750000001,16.8,True,False,75.5,1276.265,6.55,59.8
0.95,9.007167284363032,13.081430960121038,62271.2505058,16.5,True,False,75.6,8161.36966,7.63,59.2
0.95,9.099784078836045,15.29310456744764,59629.372771500006,16.3,True,False,75.4,8953.359275,6.66,58.6
1.0,8.88094947299597,15.201110678154688,46686.5784836,16.3,True,False,74.8,7193.61764,6.49,58.0
1.0,8.679101350331628,15.190715912685993,39270.1252836,16.1,True,False,75.2,5878.76127,6.68,57.5
1.05,6.357640910015404,17.48279572471726,3951.65422865,16.3,True,False,74.9,576.883829,6.85,56.9
1.05,8.355044628147953,17.472091381933677,29080.76854032,16.3,True,False,74.7,4251.574348,6.84,56.3
1.1,5.8094557414023065,15.160821192736023,2740.857072,16.4,True,False,74.1,333.4376,8.22,55.7
1.1,7.855231903425426,15.147596062784121,21433.09522608,16.3,True,False,74.1,2579.193168,8.31,55.1
1.15,6.576044233480527,15.136508510822688,6731.97604212,15.6,True,False,74.0,717.694674,9.38,54.6
1.15,8.94497722443044,15.139251626076575,70634.01276636001,15.0,True,False,74.1,7669.273916,9.21,54.0
2.1500000000000004,5.912569532249685,12.583464014810723,,12.7,True,False,74.8,369.654776,,54.9
2.1,8.292726854356596,10.296272607486918,17896.311350400003,12.7,True,False,74.6,3994.712355,4.48,54.1
2.1,8.254162420262505,12.575423410717326,17488.34001915,12.7,True,False,74.4,3843.591213,4.55,53.3
2.05,8.211984582606929,14.873967990636839,16508.119488000004,12.7,True,False,74.4,3684.8481,4.48,52.6
2.05,8.168196733165532,14.87176529875329,13085.08891053,12.7,True,False,73.9,3526.978143,3.71,51.9
2.05,8.076633920582047,14.872366735405379,14675.8203468,12.3,True,False,73.5,3218.381655,4.56,51.2
2.05,8.004309628545421,14.876276974618422,13621.93801605,11.9,True,False,73.3,2993.832531,4.55,5.7
2.05,3.720135116843945,10.303001655150853,156.825886,12.3,True,False,73.2,41.26997,3.8,5.1
2.05,8.05162365304355,12.589142167528168,13528.604262999997,11.7,True,False,73.5,3138.8873,4.31,49.7
2.05,7.677075690437198,10.295022755110795,9885.00942,11.2,True,False,72.9,2158.299,4.58,49.2
2.05,7.4047406043540915,14.907856252482157,8629.731584250001,10.9,True,False,73.0,1643.758397,5.25,48.8
2.05,7.083355900806276,8.192016914536875,6555.7905599999995,10.9,True,False,73.0,1191.96192,5.5,48.4
2.05,4.534384530209023,10.366781220256765,518.0038312519999,10.8,True,False,72.7,93.1661567,5.56,48.1
2.1,6.663466866203358,12.718587841165418,4229.6131746,10.8,True,False,72.6,783.261699,5.4,47.8
2.1,6.543098736664063,10.481644668462405,4124.94460686,11.1,True,False,72.6,694.435119,5.94,47.4
2.1500000000000004,6.434133508470304,12.820144150690117,3892.1421731249998,11.2,True,False,72.0,622.7427477,6.25,47.1
0.6,10.942958066509718,16.984748055073975,,20.4,False,True,82.8,56554.3876,,66.6
0.6,11.038346443764159,14.668518087125554,586062.391104,20.4,False,True,82.7,62214.6912,9.42,66.1
0.6,11.124204467543507,16.956094105594637,634536.289296,20.3,False,True,82.5,67792.3386,9.36,65.5
0.6,11.122511046417662,16.939119378096095,633462.6614472,20.1,False,True,82.3,67677.63477,9.36,65.0
0.6,11.038835562269357,12.316826590464707,572655.1867999999,19.8,False,True,82.0,62245.129,9.2,64.4
0.6499999999999999,10.856589327408225,12.315711496047562,477248.60159999994,19.5,False,True,81.9,51874.848,9.2,63.9
0.6499999999999999,10.662960694403994,12.287270070875957,406058.49030999996,19.1,False,True,81.7,42742.99898,9.5,63.4
0.6499999999999999,10.813049404188641,12.266659619579118,436055.937812,19.1,False,True,81.3,49664.6854,8.78,62.9
0.6499999999999999,8.515588482559416,10.249768667290844,42581.6140517,19.0,False,True,81.3,4991.98289,8.53,62.5
0.6499999999999999,10.494554492836224,10.202814064582626,306644.2295469,20.3,False,True,81.2,36118.28381,8.49,62.0
0.6499999999999999,8.136434792384454,10.083640092045243,28871.240313499995,20.3,False,True,81.0,3416.71483,8.45,61.5
0.6499999999999999,8.15259545055897,9.96524094881161,29758.294628900003,20.7,False,True,86.0,3472.37977,8.57,6.9
0.7,10.063281660652637,12.20082892120712,195232.00810880002,20.6,False,True,83.0,23465.38559,8.32,6.3
0.7,5.641260159608434,12.188488954572858,2364.4499157,20.1,False,True,79.9,281.81763,8.39,59.6
0.7,9.879084284181676,9.873698223725375,159655.9449424,20.5,False,True,79.9,19517.84168,8.18,59.0
0.7,7.682446040341854,9.860214640302662,19095.3048,20.4,False,True,79.5,2169.921,8.8,58.2
2.0,10.684323832463337,15.97112220307146,,15.9,False,True,81.5,43665.947,,57.6
1.9,10.845887258754914,15.960455974989834,575326.7940637,15.9,False,True,81.4,51322.63997,11.21,57.1
1.9,6.318455045212344,15.95314730222171,6179.5286648,15.7,False,True,81.1,554.71532,11.14,56.6
1.9,10.785881685756818,15.94730626236181,539886.0073941,15.7,False,True,88.0,48333.57273,11.17,56.1
1.85,10.842062954183119,15.94274688763862,99185.8782966,15.7,False,True,88.0,51126.74139,1.94,55.7
1.7999999999999998,10.750591729882268,13.63679529068441,521165.71593,15.4,False,True,84.0,46657.629,11.17,55.2
1.7999999999999998,10.77172577951334,15.936972136225297,533250.3548798999,15.3,False,True,82.0,47654.18721,11.19,54.7
1.7999999999999998,10.847128370592587,15.934352604326234,82218.20264,15.1,False,True,84.0,51386.37665,1.6,54.2
1.7999999999999998,10.749069352047051,15.931222189949619,65221.31349999999,15.2,False,True,81.0,46586.6525,1.4,53.7
1.7999999999999998,6.095810170436769,15.927980724596765,599.3913735,15.0,False,True,79.8,443.99361,1.35,53.2
1.7999999999999998,10.551700785656434,15.923032746845779,58510.910555999995,14.9,False,True,79.4,38242.4252,1.53,52.7
1.7999999999999998,10.510352895382486,15.916220074362782,57241.744872,14.7,False,True,79.3,36693.4262,1.56,52.2
1.7999999999999998,8.074940284217814,15.910015943089439,4755.14454,14.7,False,True,78.8,3212.9355,1.48,51.7
1.7999999999999998,10.17927576057636,13.689898580966004,33466.2471136,16.1,False,True,78.7,26351.37568,1.27,51.2
1.7999999999999998,10.106009350786229,13.643883213690744,27428.503793600004,15.5,False,True,78.6,24489.73553,1.12,5.6
1.7999999999999998,10.1071329421598,13.606720993498369,39227.62792,15.4,False,True,78.1,24517.26745,1.6,5.1
2.8499999999999996,4.013022786890177,16.08240018082785,,12.7,True,False,72.7,55.31382,,52.5
2.8499999999999996,8.973516137407863,13.767977553238659,50504.318566400005,12.2,True,False,72.5,7891.299776,6.4,51.5
2.8,8.971544580090377,13.755421855017666,43631.69351962,11.9,True,False,72.2,7875.756953,5.54,5.6
2.8,8.922169610535386,16.04507152200353,40255.32285936,11.8,True,False,71.9,7496.335728,5.37,49.7
2.8499999999999996,8.880403505286692,13.729279240285619,36667.4252679,11.7,True,False,71.6,7189.691229,5.1,48.8
2.8499999999999996,8.672975312290976,13.768766898275295,31142.432287199998,11.7,True,False,71.1,5842.85784,5.33,48.0
2.8499999999999996,6.20515312268042,16.00685599810279,2897.47452735,11.6,True,False,78.0,495.294791,5.85,47.3
2.8499999999999996,8.62598269736144,11.380924329476233,24361.168934,11.6,True,False,73.0,5574.6382,4.37,46.6
2.8499999999999996,8.25620183002588,11.359925789150308,19642.3331319,11.6,True,False,73.0,3851.437869,5.1,45.9
2.9,7.8135340573626495,13.651172327482788,15263.702379199998,10.7,True,False,69.2,2473.85776,6.17,45.3
2.95,7.364182096509632,13.640186461738608,12406.411854,11.2,True,False,68.4,1578.4239,7.86,44.7
3.0,4.978224355043299,9.031811613420924,1150.1130959999998,11.0,True,False,68.4,145.2163,7.92,44.2
3.0,6.78405426263321,11.318624440015755,5796.704617039999,10.8,True,False,67.8,883.6439965,6.56,43.6
3.1,6.63822555783719,13.613633023453632,3413.9114525999994,10.6,True,False,67.8,763.73858,4.47,43.1
3.1,4.299783553995926,11.303586194632416,330.103618432,10.4,True,False,67.5,73.6838434,4.48,42.6
3.1500000000000004,6.486121650983087,9.04617302576227,3063.40010242,10.1,True,False,66.6,655.974326,4.67,42.1
2.5,,,,12.6,True,False,76.1,,,64.5
2.5,,,,12.6,True,False,75.4,,7.74,63.8
2.5,,,,12.6,True,False,74.8,,7.5,63.2
2.5,,,,12.6,True,False,74.9,,7.43,62.6
2.5,,,,12.6,True,False,75.0,,7.63,62.0
2.5,,,,12.6,True,False,75.0,,7.44,61.3
2.5,,,,12.6,True,False,74.6,,7.43,6.7
2.5,,,,12.6,True,False,74.5,,7.3,6.1
2.5,,,,12.5,True,False,74.4,,7.8,59.4
2.5,,,,12.4,True,False,74.2,,6.93,58.7
2.55,,,,12.4,True,False,74.1,,5.95,58.1
2.55,,,,12.3,True,False,73.8,,6.2,57.4
2.55,,,,12.2,True,False,73.2,,5.62,56.7
2.6,,,,12.1,True,False,73.1,,5.26,56.0
2.6500000000000004,,,,12.1,True,False,72.9,,5.15,55.2
2.6500000000000004,,,,12.0,True,False,72.6,,5.21,54.4
6.15,10.029630138032593,,,14.5,True,False,76.9,22688.87824,,63.6
6.05,10.125966050751542,,124417.22841600001,14.5,True,False,76.8,24983.3792,4.98,62.9
6.05,5.526182911680807,,1178.0496301,14.5,True,False,76.7,251.18329,4.69,62.2
6.05,10.071091611743258,,103347.7320857,14.5,True,False,76.5,23649.36661,4.37,61.5
6.05,7.73242367060477,,7755.82228,14.4,True,False,76.1,2281.1242,3.4,6.8
5.95,7.909173210564894,,9908.585596,14.4,True,False,76.1,2722.1389,3.64,6.1
5.95,9.870792463825719,,73361.7882444,14.4,True,False,76.0,19356.67236,3.79,59.3
5.95,7.769617427635984,,7505.182159499999,14.4,True,False,75.8,2367.56535,3.17,58.5
6.0,7.998710090531147,,11313.038139999999,14.4,True,False,75.6,2977.1153,3.8,57.6
6.0,7.569409465306621,,7364.3828619999995,14.2,True,False,75.5,1937.99549,3.8,56.8
6.0,9.795856602502813,,56751.00418640001,14.0,True,False,75.3,17959.17854,3.16,56.1
6.0,9.670702446073875,,53402.6255017,13.9,True,False,75.2,15846.47641,3.37,55.6
6.0,9.562544819419562,,53190.2522866,13.7,True,False,75.0,14221.99259,3.74,55.2
6.050000000000001,7.179562944617069,,5104.9814773,13.5,True,False,74.9,1312.33457,3.89,55.0
6.1,9.462515285489015,,48899.201799999995,13.3,True,False,74.7,12868.211,3.8,54.8
6.1,9.520494056812582,,47863.5768468,13.2,True,False,74.5,13636.34668,3.51,54.5
18.1,4.797096469366482,14.293535678850242,,10.2,True,False,71.8,121.15812,,18.3
18.35,5.2180040347590975,16.584673355921378,520.4745125999999,10.0,True,False,71.4,184.56543,2.82,17.7
18.55,6.8584489077757755,18.87538856143498,2741.44162608,10.0,True,False,71.0,951.8894535,2.88,17.0
18.75,6.752670829827966,16.561033342567,3254.1028566,9.9,True,False,77.0,856.342857,3.8,16.4
18.95,6.7283765968815255,18.851891022712383,2641.09431756,9.4,True,False,73.0,835.789341,3.16,15.8
19.15,6.63025025385962,16.537786557530463,2727.61832592,8.9,True,False,69.9,757.6717572,3.6,15.2
19.4,6.523746383185737,14.250843805577546,1982.07482088,8.4,True,False,69.5,681.125368,2.91,14.6
19.6,6.422885763730802,16.51591923686222,1754.965992135,8.6,True,False,69.1,615.7775411,2.85,14.0
10.8,6.294622776164432,18.806889574288263,1516.6241552,8.6,True,False,68.6,541.651484,2.8,13.5
11.0,6.203576796730508,14.189611581956378,1384.641048,8.4,True,False,68.2,494.51466,2.8,13.0
11.2,6.182406076210568,16.478780315213147,1297.53666228,8.2,True,False,67.8,484.155471,2.68,12.5
2.4000000000000004,3.844983582574568,16.464340621333708,122.50574175400001,8.1,True,False,67.3,46.7579167,2.62,12.0
2.5999999999999996,6.070134537343595,11.843602369619807,1086.1746319719998,7.9,True,False,66.8,432.7388972,2.51,11.6
11.8,1.5290029361666315,14.127885486908836,11.949157955,7.7,True,False,66.3,4.6135745,2.59,11.2
12.0,3.751810008165069,14.109459949677019,105.21734454400001,7.5,True,False,65.8,42.5981152,2.47,1.8
12.2,3.820646697792374,18.69513503630193,106.32654430000001,7.3,True,False,65.3,45.63371,2.33,1.4
3.75,9.652319848490695,,,15.3,True,False,75.5,15557.8381,,54.5
3.75,9.639500503215256,,114736.7327337,15.3,True,False,75.4,15359.66971,7.47,53.7
3.8,9.64683772055429,,117128.955198,15.3,True,False,75.2,15472.7814,7.57,53.0
3.8,9.641140156426365,,114309.620507,15.3,True,False,75.1,15384.8749,7.43,52.2
3.8,9.650796581540593,,103612.829858,15.5,True,False,74.9,15534.1574,6.67,51.4
3.8,7.3752008391572845,,9846.7790144,15.8,True,False,74.7,1595.91232,6.17,5.7
3.8,9.712528230226113,,102609.8412948,15.5,True,False,74.6,16523.32388,6.21,49.9
3.9,7.412958808350984,,10109.66908,15.3,True,False,74.4,1657.3228,6.1,49.2
3.9,9.708839468906126,,92848.4185584,15.0,True,False,74.2,16462.48556,5.64,48.4
3.95,9.65800630597957,,82457.366457,14.8,True,False,74.1,15646.5591,5.27,47.7
4.0,9.562676520138847,,76524.39778880001,14.6,True,False,73.9,14223.86576,5.38,46.9
4.05,9.462566021635425,,73481.212869,14.4,True,False,73.8,12868.8639,5.71,46.2
4.1,7.113585577135671,,7150.1301539999995,14.2,True,False,73.7,1228.5447,5.82,45.4
4.15,9.3652388250085,,67250.269152,14.0,True,False,73.5,11675.39395,5.76,44.6
4.2,9.351307838719105,,62980.879238299996,14.0,True,False,73.4,11513.87189,5.47,43.8
4.25,9.356007548432649,,59691.453276,14.0,True,False,73.3,11568.1111,5.16,43.0
1.95,8.690998045504262,16.06570870612149,,15.6,True,False,72.3,5949.11677,,62.3
1.95,9.02622872921394,16.064115698102267,47331.86268286,15.7,True,False,72.0,8318.429294,5.69,61.7
2.0,8.984546492016712,16.063216672524554,53458.1304681,15.7,True,False,71.7,7978.825443,6.7,61.1
2.05,6.542823361294338,16.063057986738347,3540.6439665,15.6,True,False,71.9,694.243915,5.1,6.5
2.05,8.782586330362571,16.063974361559723,32077.0102476,15.5,True,False,72.0,6519.71753,4.92,59.9
2.1,4.149286716416387,13.763778219842706,351.8076735,15.5,True,False,73.0,63.38877,5.55,59.3
2.1500000000000004,8.55182119130451,13.771313081241871,35715.5912781,15.4,True,False,70.0,5176.172649,6.9,58.7
2.2,8.760324945433897,16.06974381570873,37938.28976035,15.1,True,False,70.0,6376.183153,5.95,58.2
2.25,8.462839392564307,13.771509557421334,30496.522285880004,14.9,True,False,69.8,4735.484827,6.44,57.7
2.3,8.255364934431066,13.779804620742985,24397.68922444,14.6,True,False,68.9,3848.215966,6.34,57.2
2.4,8.047739065565853,16.08390940358825,21543.0847463,14.4,True,False,68.1,3126.71767,6.89,56.7
2.45,7.7741577373854724,13.78828940129902,15673.2557893,14.1,True,False,68.2,2378.33927,6.59,56.2
2.55,7.506331110934759,16.097561153910796,11990.67399396,13.9,True,False,67.7,1819.525644,6.59,55.8
2.6,7.299380483928642,16.104559245819985,9571.60892874,13.6,True,False,67.2,1479.383142,6.47,55.3
2.6500000000000004,7.126387216253861,16.11092490248435,8237.7504847,13.3,True,False,67.7,1244.373185,6.62,54.9
2.75,7.151711410163791,13.813469476373717,7823.647524200001,13.1,True,False,68.0,1276.28834,6.13,54.4
1.0,8.379510336240664,16.238027132606476,,16.6,False,True,81.1,4356.875,,63.7
1.0,10.76720831942552,11.634762494300743,75428.6409756,16.3,False,True,89.0,47439.39684,1.59,63.4
0.95,8.444920619730274,16.229888961752316,7302.676757900001,16.3,False,True,87.0,4651.38647,1.57,63.0
0.9,8.406165916631302,16.22499711873935,6890.840418000001,16.2,False,True,83.0,4474.5717,1.54,62.6
0.9,8.470682997637873,13.95330883447855,6777.339293,16.1,False,True,83.0,4772.77415,1.42,62.3
0.9,8.398012596879228,14.455038583523924,5192.737769699999,15.9,False,True,80.0,4438.23741,1.17,61.9
0.9,8.409287550784953,14.40134698906277,6239.100484999999,15.8,False,True,79.8,4488.5615,1.39,61.6
0.8,10.787763006463283,12.100562118621223,464876.05699199997,15.8,False,True,79.5,48424.58927,9.6,61.3
0.8,8.399272190993154,9.696278864234223,41105.43961749999,15.8,False,True,79.5,4443.83131,9.25,6.9
0.8,10.567524133871549,14.25244720098079,356276.153121,15.7,False,True,79.4,38852.3613,9.17,6.6
0.8,10.517788555045374,14.206617749401412,341577.6941808,15.7,False,True,78.9,36967.28292,9.24,6.2
0.8,10.479811913003884,14.166967813410182,331696.124694,18.8,False,True,78.8,35589.71295,9.32,59.8
0.8,8.227898333791998,14.134787949781186,34818.799449,18.6,False,True,78.3,3743.95693,9.3,59.4
0.8,7.8447630434858695,14.102781295829582,21592.735488000002,18.8,False,True,78.0,2552.3328,8.46,59.0
0.8,10.048521069193896,11.764905227422815,191677.7850415,18.2,False,True,78.0,23121.56635,8.29,58.5
0.8,7.752532436494139,11.737068516617521,18898.967891999997,18.0,False,True,77.6,2327.4591,8.12,58.1
3.45,8.48673346743655,12.791879574269453,,12.8,True,False,71.0,4849.997495,,5.9
3.4,8.487192366693149,12.770516758322238,28094.37502614,12.8,True,False,70.0,4852.223666,5.79,5.1
3.4,8.452876180250188,12.748922960771129,27146.63758497,12.9,True,False,69.8,4688.538443,5.79,49.3
3.45,8.449693165081266,10.424392211743783,25471.329716,12.5,True,False,69.4,4673.63848,5.45,48.5
3.45,8.415436562838009,12.704396446153195,25336.144267500003,12.4,True,False,69.4,4516.24675,5.61,47.8
3.45,8.376585798848764,10.37872744857711,25413.287854500002,12.4,True,False,69.5,4344.15177,5.85,47.0
3.45,8.356740035209393,12.656922124672937,24743.56182991,12.7,True,False,69.5,4258.788611,5.81,46.3
3.45,6.103068442247808,10.495847079283381,2638.644964,12.8,True,False,69.6,447.22796,5.9,45.7
3.5,8.37213884716589,10.30383961125747,20586.41179252,12.8,True,False,69.6,4324.876427,4.76,45.0
3.55,8.339830113024426,10.300483565552913,18424.46452,12.3,True,False,69.4,4187.3783,4.4,44.4
3.55,8.277242237463572,12.55418049650096,17503.32835675,12.8,True,False,69.0,3933.332215,4.45,43.8
3.55,8.251021617736486,10.228790501392256,16820.4526541,12.5,True,False,68.7,3831.53819,4.39,43.2
3.6,8.210666734966484,10.200364720227393,16670.3783919,12.2,True,False,68.4,3679.99523,4.53,42.6
3.6500000000000004,8.17654957768619,10.17450656409137,15577.740793500001,11.9,True,False,68.5,3556.561825,4.38,42.0
3.7,8.137184029558334,12.448956077073968,15386.740735500001,11.8,True,False,68.2,3419.275719,4.5,41.4
3.75,8.121011967679665,12.418418106744872,13390.40636978,11.7,True,False,68.3,3364.423711,3.98,4.8
6.85,6.664342576816554,14.27037009208335,,10.7,True,False,60.0,783.94791,,25.7
